fecha,temperatura,presion,humedad,altura,alta_temperatura,nivel_temperatura
26764.0,25.03,789.4979,24.84277,2055.713,1,3
26886.0,25.02,789.4786,24.7959,2055.908,1,3
27008.0,25.01,789.5469,24.85059,2055.213,1,3
27130.0,25.0,789.561,24.8457,2055.068,0,2
27252.0,24.99,789.5482,24.85059,2055.2,0,2
27374.0,24.97,789.5559,24.85645,2055.121,0,2
27496.0,24.97,789.5222,24.78613,2055.465,0,2
27618.0,24.95,789.6382,24.86816,2054.283,0,2
27740.0,24.95,789.6046,24.86621,2054.624,0,2
27862.0,24.94,789.673,24.87695,2053.929,0,2
27984.0,24.93,789.6601,24.78711,2054.059,0,2
28106.0,24.92,789.6806,24.88672,2053.85,0,2
28228.0,24.91,789.6613,24.89063,2054.048,0,2
28350.0,24.91,789.7696,24.8916,2052.944,0,2
28472.0,24.9,789.838,24.90234,2052.249,0,2
28594.0,24.89,789.8522,24.9043,2052.104,0,2
28716.0,24.87,789.8326,24.875,2052.302,0,2
28838.0,24.87,789.8804,24.91406,2051.815,0,2
28960.0,24.85,789.9152,24.9209,2051.461,0,2
29082.0,24.85,789.9087,24.90625,2051.528,0,2
29204.0,24.85,789.9087,24.92578,2051.528,0,2
29326.0,24.83,789.8622,24.93066,2052.0,0,2
29448.0,24.82,789.8157,24.93262,2052.473,0,2
29570.0,24.81,789.8571,24.91797,2052.053,0,2
29692.0,24.81,789.8571,24.95801,2052.053,0,2
29814.0,24.78,789.7706,24.94434,2052.933,0,2
29936.0,24.77,789.8119,24.9502,2052.513,0,2
30058.0,24.76,789.7989,25.00977,2052.645,0,2
30180.0,24.75,789.8403,24.95703,2052.222,0,2
30302.0,24.75,789.759,24.99121,2053.052,0,2
30424.0,24.73,789.8144,24.96191,2052.489,0,2
30546.0,24.72,789.8557,24.96582,2052.067,0,2
30668.0,24.71,789.8762,24.97168,2051.858,0,2
30790.0,24.7,789.9445,24.97266,2051.163,0,2
30912.0,24.7,789.9921,24.97754,2050.677,0,2
31034.0,24.68,790.108,24.97949,2049.498,0,2
31156.0,24.68,789.9998,25.00195,2050.6,0,2
31278.0,24.67,790.0076,24.99121,2050.521,0,2
31400.0,24.66,789.9946,24.99902,2050.653,0,2
31522.0,24.66,789.9946,25.0,2050.653,0,2
31644.0,24.64,790.0294,25.00293,2050.299,0,2
31766.0,24.64,789.9959,25.00684,2050.64,0,2
31888.0,24.63,789.9624,25.00684,2050.98,0,2
32010.0,24.62,789.9766,24.95801,2050.835,0,2
32132.0,24.61,790.0178,25.01172,2050.415,0,2
32254.0,24.59,790.0731,25.04492,2049.855,0,2
32380.0,24.59,790.0461,25.02246,2050.127,0,2
32502.0,24.58,790.1414,25.02441,2049.157,0,2
32624.0,24.57,790.1284,24.8916,2049.29,0,2
32746.0,24.56,790.0344,25.02539,2050.246,0,2
32868.0,24.57,790.1284,25.03613,2049.29,0,2
32995.0,24.56,790.1426,25.03516,2049.147,0,2
33118.0,24.54,790.0832,25.03906,2049.749,0,2
33240.0,24.54,790.1167,25.03027,2049.408,0,2
33362.0,24.53,790.212,25.04297,2048.439,0,2
33484.0,24.52,790.226,25.04785,2048.296,0,2
33606.0,24.5,790.2813,25.05078,2047.733,0,2
33728.0,24.5,790.2543,25.07422,2048.008,0,2
33850.0,24.5,790.3831,24.95801,2046.697,0,2
